NIV1,NIV2,NIV3,NIV4,NIV5,NIV1 - Libellé,NIV2 - Libellé,NIV3 - Libellé,NIV4 - Libellé,NIV5 - Libellé
A,01,01.1,01.11,01.11Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures non permanentes,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
A,01,01.1,01.12,01.12Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures non permanentes,Culture du riz,Culture du riz
A,01,01.1,01.13,01.13Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures non permanentes,"Culture de légumes, de melons, de racines et de tubercules","Culture de légumes, de melons, de racines et de tubercules"
A,01,01.1,01.14,01.14Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures non permanentes,Culture de la canne à sucre,Culture de la canne à sucre
A,01,01.1,01.15,01.15Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures non permanentes,Culture du tabac,Culture du tabac
A,01,01.1,01.16,01.16Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures non permanentes,Culture de plantes à fibres,Culture de plantes à fibres
A,01,01.1,01.19,01.19Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures non permanentes,Autres cultures non permanentes,Autres cultures non permanentes
A,01,01.2,01.21,01.21Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures permanentes,Culture de la vigne,Culture de la vigne
A,01,01.2,01.22,01.22Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures permanentes,Culture de fruits tropicaux et subtropicaux,Culture de fruits tropicaux et subtropicaux
A,01,01.2,01.23,01.23Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures permanentes,Culture d'agrumes,Culture d'agrumes
A,01,01.2,01.24,01.24Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures permanentes,Culture de fruits à pépins et à noyau,Culture de fruits à pépins et à noyau
A,01,01.2,01.25,01.25Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures permanentes,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
A,01,01.2,01.26,01.26Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures permanentes,Culture de fruits oléagineux,Culture de fruits oléagineux
A,01,01.2,01.27,01.27Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures permanentes,Culture de plantes à boissons,Culture de plantes à boissons
A,01,01.2,01.28,01.28Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures permanentes,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques","Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
A,01,01.2,01.29,01.29Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Cultures permanentes,Autres cultures permanentes,Autres cultures permanentes
A,01,01.3,01.30,01.30Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Reproduction de plantes,Reproduction de plantes,Reproduction de plantes
A,01,01.4,01.41,01.41Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Production animale,Élevage de vaches laitières,Élevage de vaches laitières
A,01,01.4,01.42,01.42Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Production animale,Élevage d'autres bovins et de buffles,Élevage d'autres bovins et de buffles
A,01,01.4,01.43,01.43Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Production animale,Élevage de chevaux et d'autres équidés,Élevage de chevaux et d'autres équidés
A,01,01.4,01.44,01.44Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Production animale,Élevage de chameaux et d'autres camélidés,Élevage de chameaux et d'autres camélidés
A,01,01.4,01.45,01.45Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Production animale,Élevage d'ovins et de caprins,Élevage d'ovins et de caprins
A,01,01.4,01.46,01.46Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Production animale,Élevage de porcins,Élevage de porcins
A,01,01.4,01.47,01.47Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Production animale,Élevage de volailles,Élevage de volailles
A,01,01.4,01.49,01.49Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Production animale,Élevage d'autres animaux,Élevage d'autres animaux
A,01,01.5,01.50,01.50Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Culture et élevage associés,Culture et élevage associés,Culture et élevage associés
A,01,01.6,01.61,01.61Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Activités de soutien à l'agriculture et traitement primaire des récoltes,Activités de soutien aux cultures,Activités de soutien aux cultures
A,01,01.6,01.62,01.62Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Activités de soutien à l'agriculture et traitement primaire des récoltes,Activités de soutien à la production animale,Activités de soutien à la production animale
A,01,01.6,01.63,01.63Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Activités de soutien à l'agriculture et traitement primaire des récoltes,Traitement primaire des récoltes,Traitement primaire des récoltes
A,01,01.6,01.64,01.64Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes",Activités de soutien à l'agriculture et traitement primaire des récoltes,Traitement des semences,Traitement des semences
A,01,01.7,01.70,01.70Z,"Agriculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Chasse, piégeage et services annexes","Chasse, piégeage et services annexes","Chasse, piégeage et services annexes"
A,02,02.1,02.10,02.10Z,"Agriculture, sylviculture et pêche",Sylviculture et exploitation forestière,Sylviculture et autres activités forestières,Sylviculture et autres activités forestières,Sylviculture et autres activités forestières
A,02,02.2,02.20,02.20Z,"Agriculture, sylviculture et pêche",Sylviculture et exploitation forestière,Exploitation forestière,Exploitation forestière,Exploitation forestière
A,02,02.3,02.30,02.30Z,"Agriculture, sylviculture et pêche",Sylviculture et exploitation forestière,Récolte de produits forestiers non ligneux poussant à l'état sauvage,Récolte de produits forestiers non ligneux poussant à l'état sauvage,Récolte de produits forestiers non ligneux poussant à l'état sauvage
A,02,02.4,02.40,02.40Z,"Agriculture, sylviculture et pêche",Sylviculture et exploitation forestière,Services de soutien à l'exploitation forestière,Services de soutien à l'exploitation forestière,Services de soutien à l'exploitation forestière
A,03,03.1,03.11,03.11Z,"Agriculture, sylviculture et pêche",Pêche et aquaculture,Pêche,Pêche en mer,Pêche en mer
A,03,03.1,03.12,03.12Z,"Agriculture, sylviculture et pêche",Pêche et aquaculture,Pêche,Pêche en eau douce,Pêche en eau douce
A,03,03.2,03.21,03.21Z,"Agriculture, sylviculture et pêche",Pêche et aquaculture,Aquaculture,Aquaculture en mer,Aquaculture en mer
A,03,03.2,03.22,03.22Z,"Agriculture, sylviculture et pêche",Pêche et aquaculture,Aquaculture,Aquaculture en eau douce,Aquaculture en eau douce
B,05,05.1,05.10,05.10Z,Industries extractives,Extraction de houille et de lignite,Extraction de houille,Extraction de houille,Extraction de houille
B,05,05.2,05.20,05.20Z,Industries extractives,Extraction de houille et de lignite,Extraction de lignite,Extraction de lignite,Extraction de lignite
B,06,06.1,06.10,06.10Z,Industries extractives,Extraction d'hydrocarbures,Extraction de pétrole brut,Extraction de pétrole brut,Extraction de pétrole brut
B,06,06.2,06.20,06.20Z,Industries extractives,Extraction d'hydrocarbures,Extraction de gaz naturel,Extraction de gaz naturel,Extraction de gaz naturel
B,07,07.1,07.10,07.10Z,Industries extractives,Extraction de minerais métalliques,Extraction de minerais de fer,Extraction de minerais de fer,Extraction de minerais de fer
B,07,07.2,07.21,07.21Z,Industries extractives,Extraction de minerais métalliques,Extraction de minerais de métaux non ferreux,Extraction de minerais d'uranium et de thorium,Extraction de minerais d'uranium et de thorium
B,07,07.2,07.29,07.29Z,Industries extractives,Extraction de minerais métalliques,Extraction de minerais de métaux non ferreux,Extraction d'autres minerais de métaux non ferreux,Extraction d'autres minerais de métaux non ferreux
B,08,08.1,08.11,08.11Z,Industries extractives,Autres industries extractives,"Extraction de pierres, de sables et d'argiles","Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise","Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
B,08,08.1,08.12,08.12Z,Industries extractives,Autres industries extractives,"Extraction de pierres, de sables et d'argiles","Exploitation de gravières et sablières, extraction d'argiles et de kaolin","Exploitation de gravières et sablières, extraction d'argiles et de kaolin"
B,08,08.9,08.91,08.91Z,Industries extractives,Autres industries extractives,Activités extractives n.c.a.,Extraction des minéraux chimiques et d'engrais minéraux,Extraction des minéraux chimiques et d'engrais minéraux
B,08,08.9,08.92,08.92Z,Industries extractives,Autres industries extractives,Activités extractives n.c.a.,Extraction de tourbe,Extraction de tourbe
B,08,08.9,08.93,08.93Z,Industries extractives,Autres industries extractives,Activités extractives n.c.a.,Production de sel,Production de sel
B,08,08.9,08.99,08.99Z,Industries extractives,Autres industries extractives,Activités extractives n.c.a.,Autres activités extractives n.c.a.,Autres activités extractives n.c.a.
B,09,09.1,09.10,09.10Z,Industries extractives,Services de soutien aux industries extractives,Activités de soutien à l'extraction d'hydrocarbures,Activités de soutien à l'extraction d'hydrocarbures,Activités de soutien à l'extraction d'hydrocarbures
B,09,09.9,09.90,09.90Z,Industries extractives,Services de soutien aux industries extractives,Activités de soutien aux autres industries extractives,Activités de soutien aux autres industries extractives,Activités de soutien aux autres industries extractives
C,10,10.1,10.11,10.11Z,Industrie manufacturière,Industries alimentaires,Transformation et conservation de la viande et préparation de produits à base de viande,Transformation et conservation de la viande de boucherie,Transformation et conservation de la viande de boucherie
C,10,10.1,10.12,10.12Z,Industrie manufacturière,Industries alimentaires,Transformation et conservation de la viande et préparation de produits à base de viande,Transformation et conservation de la viande de volaille,Transformation et conservation de la viande de volaille
C,10,10.1,10.13,10.13A,Industrie manufacturière,Industries alimentaires,Transformation et conservation de la viande et préparation de produits à base de viande,Préparation de produits à base de viande,Préparation industrielle de produits à base de viande
C,10,10.1,10.13,10.13B,Industrie manufacturière,Industries alimentaires,Transformation et conservation de la viande et préparation de produits à base de viande,Préparation de produits à base de viande,Charcuterie
C,10,10.2,10.20,10.20Z,Industrie manufacturière,Industries alimentaires,"Transformation et conservation de poisson, de crustacés et de mollusques","Transformation et conservation de poisson, de crustacés et de mollusques","Transformation et conservation de poisson, de crustacés et de mollusques"
C,10,10.3,10.31,10.31Z,Industrie manufacturière,Industries alimentaires,Transformation et conservation de fruits et légumes,Transformation et conservation de pommes de terre,Transformation et conservation de pommes de terre
C,10,10.3,10.32,10.32Z,Industrie manufacturière,Industries alimentaires,Transformation et conservation de fruits et légumes,Préparation de jus de fruits et légumes,Préparation de jus de fruits et légumes
C,10,10.3,10.39,10.39A,Industrie manufacturière,Industries alimentaires,Transformation et conservation de fruits et légumes,Autre transformation et conservation de fruits et légumes,Autre transformation et conservation de légumes
C,10,10.3,10.39,10.39B,Industrie manufacturière,Industries alimentaires,Transformation et conservation de fruits et légumes,Autre transformation et conservation de fruits et légumes,Transformation et conservation de fruits
C,10,10.4,10.41,10.41A,Industrie manufacturière,Industries alimentaires,Fabrication d'huiles et graisses végétales et animales,Fabrication d'huiles et graisses,Fabrication d'huiles et graisses brutes
C,10,10.4,10.41,10.41B,Industrie manufacturière,Industries alimentaires,Fabrication d'huiles et graisses végétales et animales,Fabrication d'huiles et graisses,Fabrication d'huiles et graisses raffinées
C,10,10.4,10.42,10.42Z,Industrie manufacturière,Industries alimentaires,Fabrication d'huiles et graisses végétales et animales,Fabrication de margarine et graisses comestibles similaires,Fabrication de margarine et graisses comestibles similaires
C,10,10.5,10.51,10.51A,Industrie manufacturière,Industries alimentaires,Fabrication de produits laitiers,Exploitation de laiteries et fabrication de fromage,Fabrication de lait liquide et de produits frais
C,10,10.5,10.51,10.51B,Industrie manufacturière,Industries alimentaires,Fabrication de produits laitiers,Exploitation de laiteries et fabrication de fromage,Fabrication de beurre
C,10,10.5,10.51,10.51C,Industrie manufacturière,Industries alimentaires,Fabrication de produits laitiers,Exploitation de laiteries et fabrication de fromage,Fabrication de fromage
C,10,10.5,10.51,10.51D,Industrie manufacturière,Industries alimentaires,Fabrication de produits laitiers,Exploitation de laiteries et fabrication de fromage,Fabrication d'autres produits laitiers
C,10,10.5,10.52,10.52Z,Industrie manufacturière,Industries alimentaires,Fabrication de produits laitiers,Fabrication de glaces et sorbets,Fabrication de glaces et sorbets
C,10,10.6,10.61,10.61A,Industrie manufacturière,Industries alimentaires,Travail des grains ; fabrication de produits amylacés,Travail des grains,Meunerie
C,10,10.6,10.61,10.61B,Industrie manufacturière,Industries alimentaires,Travail des grains ; fabrication de produits amylacés,Travail des grains,Autres activités du travail des grains
C,10,10.6,10.62,10.62Z,Industrie manufacturière,Industries alimentaires,Travail des grains ; fabrication de produits amylacés,Fabrication de produits amylacés,Fabrication de produits amylacés
C,10,10.7,10.71,10.71A,Industrie manufacturière,Industries alimentaires,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Fabrication de pain et de pâtisserie fraîche,Fabrication industrielle de pain et de pâtisserie fraîche
C,10,10.7,10.71,10.71B,Industrie manufacturière,Industries alimentaires,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Fabrication de pain et de pâtisserie fraîche,Cuisson de produits de boulangerie
C,10,10.7,10.71,10.71C,Industrie manufacturière,Industries alimentaires,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Fabrication de pain et de pâtisserie fraîche,Boulangerie et boulangerie-pâtisserie
C,10,10.7,10.71,10.71D,Industrie manufacturière,Industries alimentaires,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Fabrication de pain et de pâtisserie fraîche,Pâtisserie
C,10,10.7,10.72,10.72Z,Industrie manufacturière,Industries alimentaires,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,"Fabrication de biscuits, biscottes et pâtisseries de conservation","Fabrication de biscuits, biscottes et pâtisseries de conservation"
C,10,10.7,10.73,10.73Z,Industrie manufacturière,Industries alimentaires,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Fabrication de pâtes alimentaires,Fabrication de pâtes alimentaires
C,10,10.8,10.81,10.81Z,Industrie manufacturière,Industries alimentaires,Fabrication d'autres produits alimentaires,Fabrication de sucre,Fabrication de sucre
C,10,10.8,10.82,10.82Z,Industrie manufacturière,Industries alimentaires,Fabrication d'autres produits alimentaires,"Fabrication de cacao, chocolat et de produits de confiserie","Fabrication de cacao, chocolat et de produits de confiserie"
C,10,10.8,10.83,10.83Z,Industrie manufacturière,Industries alimentaires,Fabrication d'autres produits alimentaires,Transformation du thé et du café,Transformation du thé et du café
C,10,10.8,10.84,10.84Z,Industrie manufacturière,Industries alimentaires,Fabrication d'autres produits alimentaires,Fabrication de condiments et assaisonnements,Fabrication de condiments et assaisonnements
C,10,10.8,10.85,10.85Z,Industrie manufacturière,Industries alimentaires,Fabrication d'autres produits alimentaires,Fabrication de plats préparés,Fabrication de plats préparés
C,10,10.8,10.86,10.86Z,Industrie manufacturière,Industries alimentaires,Fabrication d'autres produits alimentaires,Fabrication d'aliments homogénéisés et diététiques,Fabrication d'aliments homogénéisés et diététiques
C,10,10.8,10.89,10.89Z,Industrie manufacturière,Industries alimentaires,Fabrication d'autres produits alimentaires,Fabrication d'autres produits alimentaires n.c.a.,Fabrication d'autres produits alimentaires n.c.a.
C,10,10.9,10.91,10.91Z,Industrie manufacturière,Industries alimentaires,Fabrication d'aliments pour animaux,Fabrication d'aliments pour animaux de ferme,Fabrication d'aliments pour animaux de ferme
C,10,10.9,10.92,10.92Z,Industrie manufacturière,Industries alimentaires,Fabrication d'aliments pour animaux,Fabrication d'aliments pour animaux de compagnie,Fabrication d'aliments pour animaux de compagnie
C,11,11.0,11.01,11.01Z,Industrie manufacturière,Fabrication de boissons,Fabrication de boissons,Production de boissons alcooliques distillées,Production de boissons alcooliques distillées
C,11,11.0,11.02,11.02A,Industrie manufacturière,Fabrication de boissons,Fabrication de boissons,Production de vin (de raisin),Fabrication de vins effervescents
C,11,11.0,11.02,11.02B,Industrie manufacturière,Fabrication de boissons,Fabrication de boissons,Production de vin (de raisin),Vinification
C,11,11.0,11.03,11.03Z,Industrie manufacturière,Fabrication de boissons,Fabrication de boissons,Fabrication de cidre et de vins de fruits,Fabrication de cidre et de vins de fruits
C,11,11.0,11.04,11.04Z,Industrie manufacturière,Fabrication de boissons,Fabrication de boissons,Production d'autres boissons fermentées non distillées,Production d'autres boissons fermentées non distillées
C,11,11.0,11.05,11.05Z,Industrie manufacturière,Fabrication de boissons,Fabrication de boissons,Fabrication de bière,Fabrication de bière
C,11,11.0,11.06,11.06Z,Industrie manufacturière,Fabrication de boissons,Fabrication de boissons,Fabrication de malt,Fabrication de malt
C,11,11.0,11.07,11.07A,Industrie manufacturière,Fabrication de boissons,Fabrication de boissons,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes,Industrie des eaux de table
C,11,11.0,11.07,11.07B,Industrie manufacturière,Fabrication de boissons,Fabrication de boissons,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes,Production de boissons rafraîchissantes
C,12,12.0,12.00,12.00Z,Industrie manufacturière,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac
C,13,13.1,13.10,13.10Z,Industrie manufacturière,Fabrication de textiles,Préparation de fibres textiles et filature,Préparation de fibres textiles et filature,Préparation de fibres textiles et filature
C,13,13.2,13.20,13.20Z,Industrie manufacturière,Fabrication de textiles,Tissage,Tissage,Tissage
C,13,13.3,13.30,13.30Z,Industrie manufacturière,Fabrication de textiles,Ennoblissement textile,Ennoblissement textile,Ennoblissement textile
C,13,13.9,13.91,13.91Z,Industrie manufacturière,Fabrication de textiles,Fabrication d'autres textiles,Fabrication d'étoffes à mailles,Fabrication d'étoffes à mailles
C,13,13.9,13.92,13.92Z,Industrie manufacturière,Fabrication de textiles,Fabrication d'autres textiles,"Fabrication d'articles textiles, sauf habillement","Fabrication d'articles textiles, sauf habillement"
C,13,13.9,13.93,13.93Z,Industrie manufacturière,Fabrication de textiles,Fabrication d'autres textiles,Fabrication de tapis et moquettes,Fabrication de tapis et moquettes
C,13,13.9,13.94,13.94Z,Industrie manufacturière,Fabrication de textiles,Fabrication d'autres textiles,"Fabrication de ficelles, cordes et filets","Fabrication de ficelles, cordes et filets"
C,13,13.9,13.95,13.95Z,Industrie manufacturière,Fabrication de textiles,Fabrication d'autres textiles,"Fabrication de non-tissés, sauf habillement","Fabrication de non-tissés, sauf habillement"
C,13,13.9,13.96,13.96Z,Industrie manufacturière,Fabrication de textiles,Fabrication d'autres textiles,Fabrication d'autres textiles techniques et industriels,Fabrication d'autres textiles techniques et industriels
C,13,13.9,13.99,13.99Z,Industrie manufacturière,Fabrication de textiles,Fabrication d'autres textiles,Fabrication d'autres textiles n.c.a.,Fabrication d'autres textiles n.c.a.
C,14,14.1,14.11,14.11Z,Industrie manufacturière,Industrie de l'habillement,"Fabrication de vêtements, autres qu'en fourrure",Fabrication de vêtements en cuir,Fabrication de vêtements en cuir
C,14,14.1,14.12,14.12Z,Industrie manufacturière,Industrie de l'habillement,"Fabrication de vêtements, autres qu'en fourrure",Fabrication de vêtements de travail,Fabrication de vêtements de travail
C,14,14.1,14.13,14.13Z,Industrie manufacturière,Industrie de l'habillement,"Fabrication de vêtements, autres qu'en fourrure",Fabrication de vêtements de dessus,Fabrication de vêtements de dessus
C,14,14.1,14.14,14.14Z,Industrie manufacturière,Industrie de l'habillement,"Fabrication de vêtements, autres qu'en fourrure",Fabrication de vêtements de dessous,Fabrication de vêtements de dessous
C,14,14.1,14.19,14.19Z,Industrie manufacturière,Industrie de l'habillement,"Fabrication de vêtements, autres qu'en fourrure",Fabrication d'autres vêtements et accessoires,Fabrication d'autres vêtements et accessoires
C,14,14.2,14.20,14.20Z,Industrie manufacturière,Industrie de l'habillement,Fabrication d'articles en fourrure,Fabrication d'articles en fourrure,Fabrication d'articles en fourrure
C,14,14.3,14.31,14.31Z,Industrie manufacturière,Industrie de l'habillement,Fabrication d'articles à mailles,Fabrication d'articles chaussants à mailles,Fabrication d'articles chaussants à mailles
C,14,14.3,14.39,14.39Z,Industrie manufacturière,Industrie de l'habillement,Fabrication d'articles à mailles,Fabrication d'autres articles à mailles,Fabrication d'autres articles à mailles
C,15,15.1,15.11,15.11Z,Industrie manufacturière,Industrie du cuir et de la chaussure,"Apprêt et tannage des cuirs ; préparation et teinture des fourrures ; fabrication d'articles de voyage, de maroquinerie et de sellerie",Apprêt et tannage des cuirs ; préparation et teinture des fourrures,Apprêt et tannage des cuirs ; préparation et teinture des fourrures
C,15,15.1,15.12,15.12Z,Industrie manufacturière,Industrie du cuir et de la chaussure,"Apprêt et tannage des cuirs ; préparation et teinture des fourrures ; fabrication d'articles de voyage, de maroquinerie et de sellerie","Fabrication d'articles de voyage, de maroquinerie et de sellerie","Fabrication d'articles de voyage, de maroquinerie et de sellerie"
C,15,15.2,15.20,15.20Z,Industrie manufacturière,Industrie du cuir et de la chaussure,Fabrication de chaussures,Fabrication de chaussures,Fabrication de chaussures
C,16,16.1,16.10,16.10A,Industrie manufacturière,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",Sciage et rabotage du bois,Sciage et rabotage du bois,"Sciage et rabotage du bois, hors imprégnation"
C,16,16.1,16.10,16.10B,Industrie manufacturière,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",Sciage et rabotage du bois,Sciage et rabotage du bois,Imprégnation du bois
C,16,16.2,16.21,16.21Z,Industrie manufacturière,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie","Fabrication d'articles en bois, liège, vannerie et sparterie",Fabrication de placage et de panneaux de bois,Fabrication de placage et de panneaux de bois
C,16,16.2,16.22,16.22Z,Industrie manufacturière,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie","Fabrication d'articles en bois, liège, vannerie et sparterie",Fabrication de parquets assemblés,Fabrication de parquets assemblés
C,16,16.2,16.23,16.23Z,Industrie manufacturière,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie","Fabrication d'articles en bois, liège, vannerie et sparterie",Fabrication de charpentes et d'autres menuiseries,Fabrication de charpentes et d'autres menuiseries
C,16,16.2,16.24,16.24Z,Industrie manufacturière,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie","Fabrication d'articles en bois, liège, vannerie et sparterie",Fabrication d'emballages en bois,Fabrication d'emballages en bois
C,16,16.2,16.29,16.29Z,Industrie manufacturière,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie","Fabrication d'articles en bois, liège, vannerie et sparterie","Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie","Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie"
C,17,17.1,17.11,17.11Z,Industrie manufacturière,Industrie du papier et du carton,"Fabrication de pâte à papier, de papier et de carton",Fabrication de pâte à papier,Fabrication de pâte à papier
C,17,17.1,17.12,17.12Z,Industrie manufacturière,Industrie du papier et du carton,"Fabrication de pâte à papier, de papier et de carton",Fabrication de papier et de carton,Fabrication de papier et de carton
C,17,17.2,17.21,17.21A,Industrie manufacturière,Industrie du papier et du carton,Fabrication d'articles en papier ou en carton,Fabrication de papier et carton ondulés et d'emballages en papier ou en carton,Fabrication de carton ondulé
C,17,17.2,17.21,17.21B,Industrie manufacturière,Industrie du papier et du carton,Fabrication d'articles en papier ou en carton,Fabrication de papier et carton ondulés et d'emballages en papier ou en carton,Fabrication de cartonnages
C,17,17.2,17.21,17.21C,Industrie manufacturière,Industrie du papier et du carton,Fabrication d'articles en papier ou en carton,Fabrication de papier et carton ondulés et d'emballages en papier ou en carton,Fabrication d'emballages en papier
C,17,17.2,17.22,17.22Z,Industrie manufacturière,Industrie du papier et du carton,Fabrication d'articles en papier ou en carton,Fabrication d'articles en papier à usage sanitaire ou domestique,Fabrication d'articles en papier à usage sanitaire ou domestique
C,17,17.2,17.23,17.23Z,Industrie manufacturière,Industrie du papier et du carton,Fabrication d'articles en papier ou en carton,Fabrication d'articles de papeterie,Fabrication d'articles de papeterie
C,17,17.2,17.24,17.24Z,Industrie manufacturière,Industrie du papier et du carton,Fabrication d'articles en papier ou en carton,Fabrication de papiers peints,Fabrication de papiers peints
C,17,17.2,17.29,17.29Z,Industrie manufacturière,Industrie du papier et du carton,Fabrication d'articles en papier ou en carton,Fabrication d'autres articles en papier ou en carton,Fabrication d'autres articles en papier ou en carton
C,18,18.1,18.11,18.11Z,Industrie manufacturière,Imprimerie et reproduction d'enregistrements,Imprimerie et services annexes,Imprimerie de journaux,Imprimerie de journaux
C,18,18.1,18.12,18.12Z,Industrie manufacturière,Imprimerie et reproduction d'enregistrements,Imprimerie et services annexes,Autre imprimerie (labeur),Autre imprimerie (labeur)
C,18,18.1,18.13,18.13Z,Industrie manufacturière,Imprimerie et reproduction d'enregistrements,Imprimerie et services annexes,Activités de pré-presse,Activités de pré-presse
C,18,18.1,18.14,18.14Z,Industrie manufacturière,Imprimerie et reproduction d'enregistrements,Imprimerie et services annexes,Reliure et activités connexes,Reliure et activités connexes
C,18,18.2,18.20,18.20Z,Industrie manufacturière,Imprimerie et reproduction d'enregistrements,Reproduction d'enregistrements,Reproduction d'enregistrements,Reproduction d'enregistrements
C,19,19.1,19.10,19.10Z,Industrie manufacturière,Cokéfaction et raffinage,Cokéfaction,Cokéfaction,Cokéfaction
C,19,19.2,19.20,19.20Z,Industrie manufacturière,Cokéfaction et raffinage,Raffinage du pétrole,Raffinage du pétrole,Raffinage du pétrole
C,20,20.1,20.11,20.11Z,Industrie manufacturière,Industrie chimique,"Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique",Fabrication de gaz industriels,Fabrication de gaz industriels
C,20,20.1,20.12,20.12Z,Industrie manufacturière,Industrie chimique,"Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique",Fabrication de colorants et de pigments,Fabrication de colorants et de pigments
C,20,20.1,20.13,20.13A,Industrie manufacturière,Industrie chimique,"Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique",Fabrication d'autres produits chimiques inorganiques de base,Enrichissement et retraitement de matières nucléaires
C,20,20.1,20.13,20.13B,Industrie manufacturière,Industrie chimique,"Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique",Fabrication d'autres produits chimiques inorganiques de base,Fabrication d'autres produits chimiques inorganiques de base n.c.a.
C,20,20.1,20.14,20.14Z,Industrie manufacturière,Industrie chimique,"Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique",Fabrication d'autres produits chimiques organiques de base,Fabrication d'autres produits chimiques organiques de base
